id;status_processo;matricula;nome;data;numero_da_defesa;status_sigaa;numero_sipac;enviado_biblioteca
1;CONCLUIDO;Accountability;Acre scalable back-end;2023-12-17;Future;FORMANDO;cultivate seamless Impressionante;NAO
2;CONCLUIDO;Corporate Macio Inteligente;Creative Prático;2023-12-17;payment pixel reintermediate;TRANCADO;GB;NAO
3;CONCLUIDO;Team-oriented;SSL bypassing;2023-12-17;Product Laos Centralized;GRADUANDO;Cambridgeshire Noruega;NAO
4;PENDENTE;withdrawal Inteligente;Vietnã;2023-12-17;Aço synthesize;EXCLUIDO;demand-driven innovative payment;SIM
5;CONCLUIDO;Borracha;Consultant invoice Eritreia;2023-12-17;impactful Internal;ATIVO;Loan;NAO
6;PENDENTE;customized Investment digital;Frango;2023-12-17;exploit Borracha;TRANCADO;Rodovia Man hardware;NAO
7;PENDENTE;system;Paraná mindshare Genérico;2023-12-16;Home target Account;ATIVO;deliverables Designer;NAO
8;PENDENTE;Principal firewall;engage Investment User-centric;2023-12-17;Calças Gostoso Angola;CONCLUIDO;Saudita Macio flexibility;SIM
9;CONCLUIDO;PCI Central;Algodão Fantástico;2023-12-17;paradigms;EXCLUIDO;verde-azulado interfaces Crianças;NAO
10;PENDENTE;Crianças;bronze Central;2023-12-16;open-source;EXCLUIDO;esmeralda;SIM
